Orf(87, 189, 0.06085563114134542705971277402)
Orf(91, 199, 0.05610065873031541402615179096)
Orf(91, 202, 0.05659838654808767070029644747)
Orf(91, 220, 0.05371900826446280991735537191)
Orf(91, 244, 0.05382339553937187073281747837)
Orf(228, 330, 0.04386912860382248137350178166)
Orf(144, 330, 0.04787722130461695423482607491)
Orf(387, 486, 0.03324513196281972996811181221)
Orf(360, 486, 0.03421082420415812444187304262)
Orf(351, 486, 0.03701572864061563001318076521)
Orf(339, 486, 0.03702518518518518518518518517)
Orf(492, 642, 0.03854726563187110035607219948)
Orf(71, 449, 0.04307936408232104886490321244)
Orf(71, 629, 0.04036645512372753138944370507)
Orf(310, 655, 0.03602546229857722743859936857)
Orf(310, 658, 0.03620308609716163226280838964)
Orf(310, 664, 0.03639616993609109486602352261)
Orf(310, 670, 0.03641534217562928964907220242)
Orf(596, 734, 0.05573588382792509045844048687)
Orf(539, 734, 0.04753689326692081513018152136)
Orf(515, 734, 0.04769058686151454595574391043)
Orf(512, 734, 0.04771555555555555555555555554)
Orf(305, 734, 0.04579141899100746837372351777)
Orf(269, 734, 0.04541783619076518484802508470)
Orf(191, 734, 0.04676769379100015496585959091)
Orf(657, 747, 0.03634207199042216329316460230)
Orf(802, 892, 0.04429003539473144387380230420)
Orf(751, 892, 0.03284813314471879286694101509)
Orf(983, 1121, 0.04354990205909559039405027289)
Orf(983, 1139, 0.04298850729125385385250911826)
Orf(983, 1145, 0.04288816540056209477697081002)
Orf(983, 1148, 0.04375708616780045351473922902)
Orf(983, 1160, 0.04397376543209876543209876543)
Orf(1270, 1360, 0.03949490089599518621706530806)
Orf(1264, 1360, 0.04382669671925870272977710993)
Orf(1261, 1360, 0.04527670353031639414704751565)
Orf(1258, 1360, 0.04635698088759313249109167476)
Orf(1249, 1360, 0.04580356708946882441560966127)
Orf(1243, 1360, 0.04782986111111111111111111113)
Orf(1240, 1360, 0.04897717031899646777550464380)
Orf(1228, 1360, 0.04894985520499923792104862064)
Orf(1213, 1360, 0.05083555555555555555555555553)
Orf(1171, 1360, 0.04884084065755208333333333332)
Orf(1165, 1360, 0.04846289648860815068344912238)
Orf(1238, 1337, 0.04749304566117104281158830315)
Orf(1238, 1349, 0.04535808588877549367416695015)
Orf(1238, 1367, 0.04269972451790633608815426997)
Orf(1162, 1330, 0.03588628559874773284567391256)
Orf(1162, 1354, 0.03653574739965272509651207875)
